|input_date|0
0|2019-10|79571
1|2019-11|58958
2|2019-12|53145
3|2020-01|52187
4|2020-02|46361
5|2020-03|38535
6|2020-04|27932
7|2020-05|25041
8|2020-06|22840
9|2020-07|18518
10|2020-08|20115
11|2020-09|23420
12|2020-10|20107
13|2020-11|15360
14|2020-12|14111
15|2021-01|13914
16|2021-02|12181
17|2021-03|18303
18|2021-04|22451
19|2021-05|22552
20|2021-06|29330
21|2021-07|36820
22|2021-08|41156
23|2021-09|50529
24|2021-10|47003
25|2021-11|66420
26|2021-12|45912
27|2022-01|45881
28|2022-02|65844
29|2022-03|88866
30|2022-04|56533
31|2022-05|63628
32|2022-06|66254
33|2022-07|69124
34|2022-08|77216
35|2022-09|65717
